state,honey_colonies,yield_per_col,production,stocks,avg_price_per_lb,prod_value,state_code,year
Idaho,100.0,46.0,4600.0,1610.0,67.0,3082.0,ID,2001
Illinois,6.0,76.0,456.0,251.0,158.0,720.0,IL,2001
Indiana,7.0,76.0,532.0,186.0,92.0,489.0,IN,2001
Iowa,33.0,51.0,1683.0,875.0,75.0,1262.0,IA,2001
Kansas,13.0,51.0,663.0,530.0,96.0,636.0,KS,2001
Kentucky,3.0,78.0,234.0,94.0,141.0,330.0,KY,2001
Louisiana,45.0,106.0,4770.0,572.0,60.0,2862.0,LA,2001
Maine,11.0,20.0,220.0,106.0,79.0,174.0,ME,2001
Maryland,4.0,46.0,184.0,55.0,160.0,294.0,MD,2001
Michigan,76.0,60.0,4560.0,2827.0,81.0,3694.0,MI,2001
Minnesota,135.0,81.0,10935.0,1859.0,65.0,7108.0,MN,2001
Mississippi,17.0,66.0,1122.0,224.0,89.0,999.0,MS,2001
Missouri,25.0,61.0,1525.0,381.0,71.0,1083.0,MO,2001
Montana,136.0,102.0,13872.0,4578.0,67.0,9294.0,MT,2001
Nebraska,43.0,48.0,2064.0,1115.0,72.0,1486.0,NE,2001
Nevada,9.0,50.0,450.0,36.0,214.0,963.0,NV,2001
New Jersey,11.0,34.0,374.0,71.0,85.0,318.0,NJ,2001
New Mexico,10.0,70.0,700.0,350.0,66.0,462.0,NM,2001
New York,53.0,70.0,3710.0,1781.0,79.0,2931.0,NY,2001
North Carolina,13.0,44.0,572.0,172.0,148.0,847.0,NC,2001
North Dakota,280.0,96.0,26880.0,9408.0,69.0,18547.0,ND,2001
Ohio,16.0,81.0,1296.0,505.0,101.0,1309.0,OH,2001
Oklahoma,4.0,47.0,188.0,105.0,143.0,269.0,OK,2001
Oregon,44.0,44.0,1936.0,1200.0,74.0,1433.0,OR,2001
Pennsylvania,17.0,57.0,969.0,514.0,92.0,891.0,PA,2001
South Carolina,7.0,40.0,280.0,67.0,79.0,221.0,SC,2001
South Dakota,235.0,65.0,15275.0,12220.0,71.0,10845.0,SD,2001
Tennessee,8.0,59.0,472.0,131.0,139.0,656.0,TN,2001
Texas,97.0,79.0,7663.0,1533.0,65.0,4981.0,TX,2001
Utah,23.0,38.0,874.0,315.0,65.0,568.0,UT,2001
Vermont,7.0,81.0,567.0,249.0,92.0,522.0,VT,2001
Virginia,9.0,52.0,468.0,94.0,126.0,590.0,VA,2001
Washington,42.0,52.0,2184.0,917.0,72.0,1572.0,WA,2001
West Virginia,7.0,65.0,455.0,410.0,142.0,646.0,WV,2001
Wisconsin,67.0,81.0,5427.0,3419.0,82.0,4450.0,WI,2001
Alabama,12.0,86.0,1032.0,103.0,118.0,1218.0,AL,2002
Arizona,38.0,63.0,2394.0,1197.0,108.0,2586.0,AZ,2002
Arkansas,45.0,88.0,3960.0,871.0,126.0,4990.0,AR,2002
California,470.0,50.0,23500.0,3525.0,132.0,31020.0,CA,2002
Colorado,24.0,60.0,1440.0,576.0,129.0,1858.0,CO,2002
Florida,220.0,93.0,20460.0,2026.0,114.0,23324.0,FL,2002
Georgia,50.0,52.0,2600.0,52.0,113.0,2938.0,GA,2002
Hawaii,7.0,136.0,952.0,29.0,111.0,1057.0,HI,2002
Idaho,100.0,57.0,5700.0,1653.0,137.0,7809.0,ID,2002
Illinois,9.0,80.0,720.0,130.0,147.0,1058.0,IL,2002
Indiana,8.0,62.0,496.0,233.0,119.0,590.0,IN,2002
Iowa,33.0,70.0,2310.0,901.0,143.0,3303.0,IA,2002
Kansas,17.0,52.0,884.0,407.0,150.0,1326.0,KS,2002
Kentucky,5.0,54.0,270.0,78.0,163.0,440.0,KY,2002
Louisiana,35.0,124.0,4340.0,347.0,116.0,5034.0,LA,2002
Maine,11.0,41.0,451.0,266.0,121.0,546.0,ME,2002
Maryland,3.0,46.0,138.0,21.0,196.0,270.0,MD,2002
Michigan,72.0,77.0,5544.0,1885.0,140.0,7762.0,MI,2002
Minnesota,117.0,73.0,8541.0,1110.0,147.0,12555.0,MN,2002
Mississippi,18.0,78.0,1404.0,281.0,123.0,1727.0,MS,2002
Missouri,18.0,50.0,900.0,189.0,142.0,1278.0,MO,2002
Montana,134.0,63.0,8442.0,1097.0,138.0,11650.0,MT,2002
Nebraska,43.0,75.0,3225.0,1161.0,149.0,4805.0,NE,2002
Nevada,9.0,62.0,558.0,61.0,267.0,1490.0,NV,2002
New Jersey,11.0,40.0,440.0,92.0,100.0,440.0,NJ,2002
New Mexico,11.0,44.0,484.0,252.0,110.0,532.0,NM,2002
New York,60.0,98.0,5880.0,2470.0,125.0,7350.0,NY,2002
North Carolina,16.0,42.0,672.0,74.0,141.0,948.0,NC,2002
North Dakota,320.0,75.0,24000.0,8160.0,146.0,35040.0,ND,2002
Ohio,18.0,70.0,1260.0,504.0,144.0,1814.0,OH,2002
Oklahoma,3.0,53.0,159.0,51.0,163.0,259.0,OK,2002
Oregon,43.0,49.0,2107.0,885.0,135.0,2844.0,OR,2002
Pennsylvania,29.0,57.0,1653.0,827.0,134.0,2215.0,PA,2002
South Carolina,5.0,94.0,470.0,14.0,125.0,588.0,SC,2002
South Dakota,225.0,51.0,11475.0,2410.0,142.0,16295.0,SD,2002
Tennessee,8.0,61.0,488.0,137.0,140.0,683.0,TN,2002
Texas,114.0,67.0,7638.0,985.0,114.0,8707.0,TX,2002
Utah,22.0,59.0,1298.0,208.0,130.0,1687.0,UT,2002
Vermont,7.0,89.0,623.0,274.0,120.0,748.0,VT,2002
Virginia,8.0,38.0,304.0,79.0,190.0,578.0,VA,2002
Washington,50.0,51.0,2550.0,561.0,127.0,3239.0,WA,2002
West Virginia,9.0,51.0,459.0,151.0,132.0,606.0,WV,2002
Wisconsin,70.0,95.0,6650.0,2461.0,134.0,8911.0,WI,2002
Alabama,13.0,82.0,1066.0,43.0,124.0,1322.0,AL,2003
Arizona,35.0,72.0,2520.0,983.0,134.0,3377.0,AZ,2003
Arkansas,40.0,75.0,3000.0,810.0,126.0,3780.0,AR,2003
California,480.0,67.0,32160.0,6432.0,139.0,44702.0,CA,2003
Colorado,24.0,86.0,2064.0,722.0,140.0,2890.0,CO,2003
Florida,210.0,71.0,14910.0,1491.0,132.0,19681.0,FL,2003
Georgia,52.0,65.0,3380.0,270.0,128.0,4326.0,GA,2003
Hawaii,7.0,114.0,798.0,43.0,145.0,1157.0,HI,2003
Idaho,100.0,46.0,4600.0,1380.0,133.0,6118.0,ID,2003
Illinois,7.0,60.0,420.0,252.0,183.0,769.0,IL,2003
Indiana,5.0,56.0,280.0,78.0,166.0,465.0,IN,2003
Iowa,32.0,59.0,1888.0,868.0,142.0,2681.0,IA,2003
Kansas,16.0,57.0,912.0,447.0,141.0,1286.0,KS,2003
Kentucky,5.0,48.0,240.0,14.0,167.0,401.0,KY,2003
Louisiana,34.0,90.0,3060.0,275.0,124.0,3794.0,LA,2003
Maine,8.0,33.0,264.0,145.0,141.0,372.0,ME,2003
Maryland,2.0,42.0,84.0,21.0,193.0,162.0,MD,2003
Michigan,65.0,74.0,4810.0,1732.0,141.0,6782.0,MI,2003
Minnesota,120.0,83.0,9960.0,1892.0,144.0,14342.0,MN,2003
Mississippi,21.0,69.0,1449.0,246.0,129.0,1869.0,MS,2003
Missouri,17.0,53.0,901.0,189.0,141.0,1270.0,MO,2003
Montana,145.0,66.0,9570.0,1914.0,144.0,13781.0,MT,2003
Nebraska,45.0,74.0,3330.0,1299.0,138.0,4595.0,NE,2003
Nevada,6.0,64.0,384.0,46.0,204.0,783.0,NV,2003
New Jersey,10.0,19.0,190.0,101.0,160.0,304.0,NJ,2003
New Mexico,6.0,41.0,246.0,108.0,120.0,295.0,NM,2003
New York,67.0,72.0,4824.0,1640.0,136.0,6561.0,NY,2003
North Carolina,10.0,44.0,440.0,79.0,192.0,845.0,NC,2003
North Dakota,340.0,87.0,29580.0,6803.0,136.0,40229.0,ND,2003
